basin_id,country,country_iso3,climate_zone,rainfall_mm,avg_temp_c,avg_slope_deg,soil_type,ndvi,risk_quantity,risk_quality,regulatory_risk,water_rights,risk_driver,historical_outcome
BSN-1054,Chile,CHL,Mediterranean,830.0,17.8,1.1,Loam,0.7,1.0,3.6,1.9,Restricted,water_quality,
BSN-1055,Canada,CAN,Wet,1214.4,11.0,15.1,Peat,0.79,1.1,3.4,2.5,Restricted,water_quality|erosion,
BSN-1056,Australia,,Arid,64.6,20.8,5.0,Rock,0.17,4.7,2.5,3.5,Available,water_quantity|governance_risk|land_degradation,
BSN-1057,USA,USA,Arid,57.0,28.9,3.5,Sand,0.08,5.0,1.5,4.3,Available,water_quantity|governance_risk|land_degradation,0.0
BSN-1058,Australia,,Arid,53.0,24.9,1.9,Sand,0.07,4.9,1.8,3.1,Restricted,water_quantity|governance_risk|land_degradation,0.0
BSN-1059,Italy,ITA,Mediterranean,456.9,9.7,2.1,Loam,0.57,1.0,2.2,2.4,Restricted,low_materiality,
BSN-1060,Italy,ITA,Mediterranean,571.6,17.7,0.8,Loam,0.58,1.0,2.4,1.7,Available,low_materiality,1.0
BSN-1061,Spain,,Mediterranean,666.6,13.6,2.7,Clay,0.41,3.4,3.7,3.3,Restricted,water_quality|water_quantity|governance_risk,
BSN-1062,Chile,CHL,Wet,1028.1,5.0,6.6,Peat,0.72,2.0,2.3,2.5,Available,erosion,0.0
BSN-1063,Spain,,Mediterranean,437.1,11.6,0.4,Loam,0.52,3.1,4.4,1.8,Restricted,water_quality|water_quantity,
BSN-1064,Spain,,Mediterranean,510.4,19.7,0.6,Loam,0.61,2.7,3.5,2.0,Available,water_quality,
BSN-1065,USA,USA,Mediterranean,615.8,14.6,1.8,Clay,0.63,1.7,3.5,2.5,Restricted,water_quality,
BSN-1066,Australia,,Arid,74.5,21.6,5.4,Sand,0.16,4.7,2.4,1.6,Restricted,water_quantity|land_degradation,
BSN-1067,Canada,CAN,Wet,1433.7,4.4,7.1,Clay,0.72,2.1,3.3,2.9,Restricted,water_quality|erosion,0.0
BSN-1068,Australia,,Arid,106.5,22.0,0.2,Sand,0.1,5.0,3.4,2.3,Restricted,water_quality|water_quantity|land_degradation,
BSN-1069,UK,GBR,Wet,1503.3,13.2,7.6,Peat,0.77,2.6,2.4,1.7,Restricted,erosion,
BSN-1070,Chile,CHL,Wet,1502.7,9.4,3.3,Clay,0.7,1.2,2.5,2.7,Locked,low_materiality,
BSN-1071,Australia,,Arid,12.5,16.1,4.9,Sand,0.02,4.0,2.0,2.8,Available,water_quantity|land_degradation,
BSN-1072,Chile,CHL,Arid,53.4,17.3,0.9,Rock,0.04,4.6,2.2,2.5,Restricted,water_quantity|land_degradation,
BSN-1073,UK,GBR,Wet,1936.2,7.5,6.9,Clay,0.88,2.4,2.3,2.2,Available,erosion,
BSN-1074,Chile,CHL,Wet,1443.4,6.6,1.7,Loam,0.78,3.4,2.8,2.7,Restricted,water_quantity,
BSN-1075,Chile,CHL,Wet,1417.4,11.9,4.8,Clay,0.67,3.3,4.5,1.8,Restricted,water_quality|water_quantity,
BSN-1076,Canada,CAN,Wet,940.7,9.6,4.9,Loam,0.73,3.3,4.7,3.6,Restricted,water_quality|water_quantity|governance_risk,1.0
BSN-1077,Chile,CHL,Arid,70.7,17.1,0.5,Sand,0.12,3.8,1.9,2.3,Restricted,water_quantity|land_degradation,
BSN-1078,USA,USA,Mediterranean,672.3,9.0,1.3,Loam,0.51,4.2,3.2,3.1,Restricted,water_quality|water_quantity|governance_risk,
BSN-1079,Chile,CHL,Arid,58.5,27.0,2.8,Sand,0.1,3.9,3.1,2.2,Restricted,water_quality|water_quantity|land_degradation,
BSN-1080,UK,GBR,Wet,992.9,10.0,3.9,Clay,0.68,3.9,2.7,2.3,Restricted,water_quantity,
BSN-1081,Spain,,Mediterranean,651.0,13.6,2.2,Loam,0.62,2.0,3.6,2.9,Restricted,water_quality,
BSN-1082,Italy,ITA,Mediterranean,565.5,10.6,0.2,Loam,0.6,2.5,3.2,2.6,Restricted,water_quality,
BSN-1083,Chile,CHL,Arid,97.7,30.0,1.9,Sand,0.09,4.8,3.4,3.7,Available,water_quality|water_quantity|governance_risk|land_degradation,
BSN-1084,Italy,ITA,Mediterranean,557.8,15.7,0.9,Clay,0.58,2.2,1.6,2.0,Restricted,low_materiality,
BSN-1085,Spain,,Mediterranean,913.3,10.6,4.2,Loam,0.5,4.7,4.4,2.5,Locked,water_quality|water_quantity,
BSN-1086,UK,GBR,Wet,894.8,10.1,9.8,Loam,0.83,3.2,4.0,2.8,Restricted,water_quality|water_quantity|erosion,
BSN-1087,Italy,ITA,Mediterranean,856.4,15.1,4.3,Silt,0.65,1.0,2.8,2.3,Restricted,low_materiality,
BSN-1088,Chile,CHL,Wet,1102.2,10.0,2.9,Clay,0.74,1.8,3.6,1.9,Locked,water_quality,
BSN-1089,Chile,CHL,Mediterranean,777.0,12.8,3.3,Silt,0.5,1.9,1.8,2.0,Available,low_materiality,
BSN-1090,Australia,,Arid,88.7,26.8,5.3,Sand,0.0,3.9,3.6,3.0,Restricted,water_quality|water_quantity|governance_risk|land_degradation,
BSN-1091,Chile,CHL,Wet,1224.6,3.5,6.4,Clay,0.6,3.2,2.1,3.8,Available,water_quantity|governance_risk|erosion,
BSN-1092,UK,GBR,Wet,1259.2,10.9,8.3,Clay,0.79,2.8,2.9,1.5,Restricted,erosion,
BSN-1093,USA,USA,Mediterranean,740.0,18.1,1.5,Silt,0.62,4.6,4.4,2.4,Restricted,water_quality|water_quantity,
BSN-1094,Chile,CHL,Wet,1478.0,6.7,5.9,Peat,0.68,3.1,3.6,1.7,Available,water_quality|water_quantity,
BSN-1095,Spain,,Mediterranean,394.9,13.4,3.2,Silt,0.63,1.9,3.5,2.3,Restricted,water_quality,
BSN-1096,USA,USA,Mediterranean,652.4,7.7,0.3,Clay,0.67,3.7,3.7,2.3,Restricted,water_quality|water_quantity,1.0
BSN-1097,USA,USA,Mediterranean,696.7,23.8,0.3,Clay,0.69,2.3,3.0,2.3,Available,water_quality,1.0
BSN-1098,USA,USA,Arid,19.0,27.6,2.8,Sand,0.08,4.5,1.3,1.3,Restricted,water_quantity|land_degradation,
BSN-1099,Chile,CHL,Arid,31.9,15.2,2.1,Sand,0.19,4.7,1.0,3.0,Restricted,water_quantity|governance_risk|land_degradation,0.0
BSN-1100,Australia,,Arid,36.9,27.3,2.2,Rock,0.19,4.6,3.1,1.9,Restricted,water_quality|water_quantity|land_degradation,
BSN-1101,Italy,ITA,Mediterranean,689.9,21.9,0.7,Silt,0.41,3.0,4.3,3.2,Restricted,water_quality|water_quantity|governance_risk,
BSN-1102,Spain,,Mediterranean,665.8,14.5,3.0,Silt,0.42,2.8,2.6,2.7,Available,low_materiality,
BSN-1103,Chile,CHL,Mediterranean,713.4,17.7,1.5,Silt,0.46,3.1,2.2,3.2,Locked,water_quantity|governance_risk,0.0
BSN-1104,UK,GBR,Wet,1459.9,14.8,4.3,Clay,0.72,1.6,3.7,2.8,Restricted,water_quality,
BSN-1105,Italy,ITA,Mediterranean,323.2,13.3,0.2,Clay,0.45,1.0,2.5,2.0,Restricted,low_materiality,
BSN-1106,USA,USA,Mediterranean,532.7,18.4,2.3,Clay,0.54,4.0,2.3,3.3,Restricted,water_quantity|governance_risk,
BSN-1107,UK,GBR,Wet,1169.7,6.4,0.8,Loam,0.8,3.0,3.4,2.8,Restricted,water_quality|water_quantity,
BSN-1108,Chile,CHL,Mediterranean,218.5,21.9,4.5,Loam,0.44,3.1,2.7,2.7,Restricted,water_quantity,
BSN-1109,Chile,CHL,Arid,100.7,31.5,9.5,Sand,0.05,3.5,3.9,1.8,Restricted,water_quality|water_quantity|land_degradation|erosion,
BSN-1110,Italy,ITA,Mediterranean,595.4,18.7,1.4,Loam,0.57,3.3,4.2,2.1,Restricted,water_quality|water_quantity,
BSN-1111,Chile,CHL,Arid,72.2,24.6,1.4,Sand,0.17,4.1,2.1,2.9,Restricted,water_quantity|land_degradation,
BSN-1112,Chile,CHL,Wet,785.4,10.7,5.8,Peat,0.84,3.1,3.7,3.3,Restricted,water_quality|water_quantity|governance_risk,
BSN-1113,Chile,CHL,Wet,1382.2,8.4,11.3,Loam,0.61,1.9,1.9,4.4,Locked,governance_risk|erosion,
BSN-1114,Spain,,Mediterranean,645.8,10.4,0.5,Clay,0.54,3.2,3.1,2.6,Restricted,water_quality|water_quantity,1.0
BSN-1115,Canada,CAN,Wet,1666.8,11.0,4.0,Peat,0.77,2.3,3.7,2.6,Restricted,water_quality,
BSN-1116,Canada,CAN,Wet,901.0,6.3,5.7,Peat,0.8,2.1,2.4,1.8,Restricted,low_materiality,
BSN-1117,Chile,CHL,Arid,99.8,26.4,8.8,Rock,0.07,4.4,2.2,1.8,Locked,water_quantity|land_degradation|erosion,
BSN-1118,UK,GBR,Wet,871.4,10.9,5.6,Loam,0.74,1.0,4.2,3.1,Locked,water_quality|governance_risk,
BSN-1119,Italy,ITA,Mediterranean,828.2,18.4,1.0,Clay,0.66,3.8,2.3,1.7,Restricted,water_quantity,
BSN-1120,UK,GBR,Wet,1041.3,6.8,6.1,Clay,0.75,4.2,3.8,1.2,Restricted,water_quality|water_quantity|erosion,
BSN-1121,Chile,CHL,Wet,1128.5,10.1,4.5,Peat,0.76,1.8,4.7,3.0,Available,water_quality|governance_risk,
BSN-1122,USA,USA,Mediterranean,626.6,10.4,3.7,Loam,0.6,3.1,2.0,2.6,Restricted,water_quantity,
BSN-1123,USA,USA,Arid,12.7,28.8,2.5,Sand,0.05,4.5,2.5,1.6,Restricted,water_quantity|land_degradation,
BSN-1124,Spain,,Mediterranean,586.0,19.3,2.9,Clay,0.46,2.0,2.9,1.8,Restricted,low_materiality,
BSN-1125,Chile,CHL,Mediterranean,590.3,20.0,1.7,Loam,0.46,2.4,2.2,3.0,Available,governance_risk,
BSN-1126,Canada,CAN,Wet,1248.2,10.2,4.3,Clay,0.63,2.7,3.6,2.6,Restricted,water_quality,
BSN-1127,UK,GBR,Wet,1267.3,11.2,6.9,Clay,0.68,2.2,2.2,3.9,Restricted,governance_risk|erosion,0.0
BSN-1128,Australia,,Arid,64.0,13.2,3.6,Sand,0.02,3.7,2.1,1.6,Restricted,water_quantity|land_degradation,
BSN-1129,Italy,ITA,Mediterranean,500.5,14.8,4.0,Loam,0.62,2.2,3.3,2.6,Restricted,water_quality,
BSN-1130,USA,USA,Mediterranean,600.4,20.3,1.5,Loam,0.67,1.0,3.3,2.3,Restricted,water_quality,
BSN-1131,Spain,,Mediterranean,633.9,20.0,0.6,Clay,0.64,2.4,3.6,1.9,Locked,water_quality,0.0
BSN-1132,Australia,,Arid,0.0,15.2,2.9,Sand,0.18,5.0,2.5,2.8,Restricted,water_quantity|land_degradation,
BSN-1133,Italy,ITA,Mediterranean,897.2,10.6,0.9,Clay,0.58,2.0,2.4,2.9,Locked,low_materiality,
BSN-1134,UK,GBR,Wet,1083.6,5.8,6.9,Peat,0.83,3.2,1.9,1.9,Restricted,water_quantity|erosion,0.0
BSN-1135,Italy,ITA,Mediterranean,811.9,17.8,0.4,Clay,0.51,1.9,3.1,3.5,Restricted,water_quality|governance_risk,
BSN-1136,USA,USA,Mediterranean,544.4,13.1,0.2,Clay,0.5,3.4,3.8,2.8,Restricted,water_quality|water_quantity,
BSN-1137,Canada,CAN,Wet,1474.8,8.0,3.5,Peat,0.76,1.7,4.3,1.7,Restricted,water_quality,
BSN-1138,Italy,ITA,Mediterranean,835.2,10.6,0.2,Clay,0.67,3.3,2.0,1.9,Restricted,water_quantity,
BSN-1139,Chile,CHL,Wet,1049.6,7.1,5.7,Peat,0.76,2.7,1.0,3.5,Restricted,governance_risk,
BSN-1140,Canada,CAN,Wet,1884.5,8.1,1.3,Clay,0.86,1.7,3.9,2.9,Available,water_quality,
BSN-1141,Spain,,Mediterranean,644.3,10.5,2.0,Clay,0.55,3.1,2.9,2.3,Restricted,water_quantity,
BSN-1142,Italy,ITA,Mediterranean,591.7,15.1,0.4,Silt,0.62,2.2,1.0,2.3,Restricted,low_materiality,0.0
BSN-1143,USA,USA,Mediterranean,665.0,15.6,2.1,Loam,0.55,3.6,4.2,2.9,Restricted,water_quality|water_quantity,
BSN-1144,Spain,,Mediterranean,537.1,10.9,1.2,Clay,0.5,2.3,3.8,2.9,Restricted,water_quality,
BSN-1145,Chile,CHL,Arid,53.3,22.8,4.4,Sand,0.0,4.6,2.1,1.9,Restricted,water_quantity|land_degradation,0.0
BSN-1146,Italy,ITA,Mediterranean,815.5,16.5,1.5,Silt,0.44,2.4,1.0,3.0,Restricted,governance_risk,
BSN-1147,Italy,ITA,Mediterranean,462.6,19.4,1.2,Clay,0.69,2.2,3.6,4.7,Restricted,water_quality|governance_risk,
BSN-1148,Australia,,Arid,24.7,20.3,2.8,Sand,0.04,4.5,3.3,3.4,Locked,water_quality|water_quantity|governance_risk|land_degradation,
BSN-1149,Chile,CHL,Mediterranean,560.8,6.0,2.9,Clay,0.61,2.5,4.3,1.9,Restricted,water_quality,
BSN-1150,Canada,CAN,Wet,1303.7,10.0,9.7,Loam,0.66,4.6,2.0,2.2,Restricted,water_quantity|erosion,
BSN-1151,USA,USA,Mediterranean,452.8,9.8,2.1,Clay,0.69,3.7,2.2,2.5,Locked,water_quantity,
BSN-1152,Australia,,Arid,45.1,16.5,6.0,Sand,0.18,4.7,4.3,1.9,Restricted,water_quality|water_quantity|land_degradation|erosion,
BSN-1153,Chile,CHL,Mediterranean,751.6,17.0,1.2,Clay,0.68,3.2,3.6,2.6,Available,water_quality|water_quantity,
BSN-1154,Chile,CHL,Wet,1526.2,10.7,2.7,Loam,0.62,2.6,1.0,2.9,Locked,low_materiality,
BSN-1155,Italy,ITA,Mediterranean,646.2,13.9,3.7,Clay,0.52,4.0,1.0,1.5,Restricted,water_quantity,
BSN-1156,Chile,CHL,Mediterranean,661.6,19.8,4.4,Loam,0.44,1.4,2.6,1.8,Available,low_materiality,
BSN-1157,UK,GBR,Wet,969.2,9.2,3.0,Peat,0.8,1.5,1.9,2.7,Restricted,low_materiality,
BSN-1158,Spain,,Mediterranean,625.1,18.8,1.5,Clay,0.59,3.0,3.6,2.7,Restricted,water_quality|water_quantity,
BSN-1159,Canada,CAN,Wet,905.1,5.1,4.9,Clay,0.9,3.9,3.4,2.1,Restricted,water_quality|water_quantity,1.0
BSN-1160,Chile,CHL,Mediterranean,772.9,11.3,0.8,Loam,0.51,2.6,2.4,2.3,Available,low_materiality,
BSN-1161,Spain,,Mediterranean,560.3,8.5,1.2,Clay,0.47,1.0,2.9,3.1,Restricted,governance_risk,
BSN-1162,Spain,,Mediterranean,594.9,8.6,1.8,Loam,0.46,2.6,2.4,2.6,Restricted,low_materiality,
BSN-1163,Spain,,Mediterranean,664.7,11.5,0.1,Clay,0.69,3.9,2.7,3.0,Available,water_quantity|governance_risk,1.0
BSN-1164,Australia,,Arid,8.2,23.0,3.4,Sand,0.02,3.2,4.4,3.2,Restricted,water_quality|water_quantity|governance_risk|land_degradation,
BSN-1165,UK,GBR,Wet,1172.6,9.8,1.6,Peat,0.9,2.6,3.3,2.6,Restricted,water_quality,0.0
BSN-1166,USA,USA,Mediterranean,448.2,18.6,0.5,Loam,0.57,3.0,3.1,2.5,Restricted,water_quality|water_quantity,1.0
BSN-1167,USA,USA,Arid,68.6,27.2,5.9,Sand,0.06,4.5,4.2,2.0,Restricted,water_quality|water_quantity|land_degradation,
BSN-1168,Australia,,Arid,51.5,25.4,8.6,Sand,0.16,5.0,2.1,2.8,Available,water_quantity|land_degradation|erosion,
BSN-1169,Chile,CHL,Mediterranean,480.7,15.7,0.0,Loam,0.7,3.6,3.4,1.8,Available,water_quality|water_quantity,
BSN-1170,Chile,CHL,Mediterranean,557.4,9.8,1.0,Loam,0.49,3.4,4.1,3.0,Available,water_quality|water_quantity|governance_risk,
BSN-1171,Chile,CHL,Arid,127.1,15.2,5.4,Sand,0.07,4.1,3.3,3.7,Restricted,water_quality|water_quantity|governance_risk|land_degradation,
BSN-1172,Italy,ITA,Mediterranean,438.4,9.6,1.2,Loam,0.67,2.7,2.6,2.1,Restricted,low_materiality,
BSN-1173,Chile,CHL,Mediterranean,696.1,14.5,0.4,Clay,0.57,2.4,3.6,1.0,Available,water_quality,
BSN-1174,Spain,,Mediterranean,607.5,7.2,2.3,Loam,0.58,1.5,2.1,1.7,Restricted,low_materiality,
BSN-1175,USA,USA,Arid,65.7,12.8,11.2,Sand,0.02,3.9,3.1,1.5,Restricted,water_quality|water_quantity|land_degradation|erosion,
BSN-1176,Spain,,Mediterranean,462.3,18.0,0.9,Clay,0.48,3.2,1.1,3.3,Restricted,water_quantity|governance_risk,
BSN-1177,Chile,CHL,Mediterranean,454.0,18.0,0.9,Silt,0.44,3.0,3.0,3.4,Restricted,water_quality|water_quantity|governance_risk,
BSN-1178,UK,GBR,Wet,1427.8,11.4,6.0,Clay,0.63,1.0,1.6,2.1,Available,erosion,
BSN-1179,Chile,CHL,Arid,65.9,30.1,0.4,Sand,0.13,4.5,2.2,3.1,Available,water_quantity|governance_risk|land_degradation,
BSN-1180,USA,USA,Mediterranean,505.1,15.9,1.8,Clay,0.44,3.7,4.4,2.3,Restricted,water_quality|water_quantity,1.0
BSN-1181,Australia,,Arid,38.7,25.6,4.5,Rock,0.14,4.8,3.1,2.8,Restricted,water_quality|water_quantity|land_degradation,
BSN-1182,Canada,CAN,Wet,574.1,8.8,4.8,Peat,0.73,2.7,2.4,2.2,Restricted,low_materiality,
BSN-1183,Chile,CHL,Wet,1508.8,12.6,7.4,Clay,0.62,2.1,2.8,3.9,Available,governance_risk|erosion,
BSN-1184,Chile,CHL,Mediterranean,757.5,9.1,4.1,Loam,0.54,1.7,1.0,2.9,Available,low_materiality,
BSN-1185,USA,USA,Mediterranean,566.9,10.3,2.7,Silt,0.47,4.0,2.9,2.7,Restricted,water_quantity,0.0
BSN-1186,Chile,CHL,Wet,1605.7,10.6,1.5,Peat,0.74,1.8,2.9,2.0,Restricted,low_materiality,
BSN-1187,Italy,ITA,Mediterranean,354.3,6.9,1.8,Loam,0.53,2.0,1.3,2.3,Restricted,low_materiality,
BSN-1188,Spain,,Mediterranean,847.7,12.1,2.1,Clay,0.57,3.6,2.9,2.6,Restricted,water_quantity,
BSN-1189,Italy,ITA,Mediterranean,622.4,12.8,0.4,Silt,0.5,2.3,4.4,1.3,Available,water_quality,
BSN-1190,USA,USA,Arid,59.9,21.5,2.3,Rock,0.09,4.6,5.0,2.7,Restricted,water_quality|water_quantity|land_degradation,
BSN-1191,UK,GBR,Wet,1274.5,5.1,2.7,Loam,0.72,3.8,3.7,2.1,Available,water_quality|water_quantity,
BSN-1192,Chile,CHL,Wet,1050.7,10.3,2.5,Peat,0.62,1.9,1.8,2.8,Locked,low_materiality,
BSN-1193,Italy,ITA,Mediterranean,577.5,12.7,0.4,Clay,0.44,2.0,2.1,2.8,Restricted,low_materiality,1.0
BSN-1194,Spain,,Mediterranean,529.8,20.8,1.0,Clay,0.54,2.2,2.8,2.5,Available,low_materiality,
BSN-1195,Spain,,Mediterranean,504.1,10.4,0.2,Clay,0.45,1.0,2.1,2.9,Restricted,low_materiality,
BSN-1196,Chile,CHL,Wet,609.4,10.5,2.3,Peat,0.72,2.1,2.9,2.2,Locked,low_materiality,
BSN-1197,Canada,CAN,Wet,1209.6,13.9,0.8,Clay,0.79,1.0,2.2,4.2,Restricted,governance_risk,
BSN-1198,Canada,CAN,Wet,1263.2,9.4,3.8,Clay,0.71,2.8,1.9,2.1,Restricted,low_materiality,
BSN-1199,Canada,CAN,Wet,1435.2,15.8,8.2,Loam,0.81,5.0,2.9,1.4,Restricted,water_quantity|erosion,
BSN-1200,Chile,CHL,Mediterranean,522.2,9.6,2.9,Clay,0.47,1.8,2.8,2.1,Available,low_materiality,
BSN-1201,USA,USA,Arid,6.9,19.1,1.7,Rock,0.12,4.3,2.0,3.1,Available,water_quantity|governance_risk|land_degradation,
BSN-1202,USA,USA,Arid,36.6,16.5,0.8,Rock,0.19,4.8,4.5,2.3,Restricted,water_quality|water_quantity|land_degradation,
BSN-1203,UK,GBR,Wet,646.9,7.3,3.7,Loam,0.87,1.0,4.5,2.8,Restricted,water_quality,
